EPISODE_ID,SEASON_NAME,EPISODE_NUM,EPISODE_NAME,EPISODE_OVERVIEW,EPISODE_AIR_DATE,EPISODE_RTM,EPISODE_STILL,GUEST
578298,뽀롱뽀롱 뽀로로 시즌 1,26,에피소드 26,,,7,,
578299,뽀롱뽀롱 뽀로로 시즌 1,27,에피소드 27,,,7,,
578300,뽀롱뽀롱 뽀로로 시즌 1,28,에피소드 28,,,7,,
578301,뽀롱뽀롱 뽀로로 시즌 1,29,에피소드 29,,,7,,
578302,뽀롱뽀롱 뽀로로 시즌 1,30,에피소드 30,,,7,,
578303,뽀롱뽀롱 뽀로로 시즌 1,31,에피소드 31,,,7,,
578304,뽀롱뽀롱 뽀로로 시즌 1,33,에피소드 33,,,7,,
578305,뽀롱뽀롱 뽀로로 시즌 1,32,에피소드 32,,,7,,
578306,뽀롱뽀롱 뽀로로 시즌 1,34,에피소드 34,,,7,,
578307,뽀롱뽀롱 뽀로로 시즌 1,35,에피소드 35,,,7,,
578308,뽀롱뽀롱 뽀로로 시즌 1,36,에피소드 36,,,7,,
578309,뽀롱뽀롱 뽀로로 시즌 1,37,에피소드 37,,,7,,
578310,뽀롱뽀롱 뽀로로 시즌 1,38,에피소드 38,,,7,,
578311,뽀롱뽀롱 뽀로로 시즌 1,39,에피소드 39,,,7,,
578312,뽀롱뽀롱 뽀로로 시즌 1,40,에피소드 40,,,7,,
578313,뽀롱뽀롱 뽀로로 시즌 1,41,에피소드 41,,,7,,
578314,뽀롱뽀롱 뽀로로 시즌 1,42,에피소드 42,,,7,,
578315,뽀롱뽀롱 뽀로로 시즌 1,43,에피소드 43,,,7,,
578316,뽀롱뽀롱 뽀로로 시즌 1,45,에피소드 45,,,7,,
578317,뽀롱뽀롱 뽀로로 시즌 1,46,에피소드 46,,,7,,
578318,뽀롱뽀롱 뽀로로 시즌 1,47,에피소드 47,,,7,,
578319,뽀롱뽀롱 뽀로로 시즌 1,48,에피소드 48,,,7,,
578320,뽀롱뽀롱 뽀로로 시즌 1,49,에피소드 49,,,7,,
578321,뽀롱뽀롱 뽀로로 시즌 1,50,에피소드 50,,,7,,
578322,뽀롱뽀롱 뽀로로 시즌 1,51,에피소드 51,,2004-02-20,7,,
578323,뽀롱뽀롱 뽀로로 시즌 1,52,에피소드 52,,2004-02-20,7,,
578324,뽀롱뽀롱 뽀로로 시즌 1,44,에피소드 44,,,7,,
578325,뽀롱뽀롱 뽀로로 시즌 2,1,에피소드 1,,2005-12-03,7,,
578326,뽀롱뽀롱 뽀로로 시즌 2,2,에피소드 2,,,7,,
578327,뽀롱뽀롱 뽀로로 시즌 2,3,에피소드 3,,,7,,
578328,뽀롱뽀롱 뽀로로 시즌 2,4,에피소드 4,,,7,,
578329,뽀롱뽀롱 뽀로로 시즌 2,5,에피소드 5,,,7,,
578330,뽀롱뽀롱 뽀로로 시즌 2,6,에피소드 6,,,7,,
578331,뽀롱뽀롱 뽀로로 시즌 2,7,에피소드 7,,,7,,
578332,뽀롱뽀롱 뽀로로 시즌 2,10,에피소드 10,,,7,,
578333,뽀롱뽀롱 뽀로로 시즌 2,8,에피소드 8,,,7,,
578334,뽀롱뽀롱 뽀로로 시즌 2,13,에피소드 13,,,7,,
578335,뽀롱뽀롱 뽀로로 시즌 2,9,에피소드 9,,,7,,
578336,뽀롱뽀롱 뽀로로 시즌 2,11,에피소드 11,,,7,,
578337,뽀롱뽀롱 뽀로로 시즌 2,12,에피소드 12,,,7,,
578338,뽀롱뽀롱 뽀로로 시즌 2,14,에피소드 14,,,7,,
578339,뽀롱뽀롱 뽀로로 시즌 2,15,에피소드 15,,,7,,
578340,뽀롱뽀롱 뽀로로 시즌 2,16,에피소드 16,,,7,,
578341,뽀롱뽀롱 뽀로로 시즌 2,17,에피소드 17,,,7,,
578342,뽀롱뽀롱 뽀로로 시즌 2,23,에피소드 23,,,7,,
578343,뽀롱뽀롱 뽀로로 시즌 2,18,에피소드 18,,,7,,
578344,뽀롱뽀롱 뽀로로 시즌 2,21,에피소드 21,,,7,,
578345,뽀롱뽀롱 뽀로로 시즌 2,20,에피소드 20,,,7,,
578346,뽀롱뽀롱 뽀로로 시즌 2,26,에피소드 26,,,7,,
578347,뽀롱뽀롱 뽀로로 시즌 2,24,에피소드 24,,,7,,
578348,뽀롱뽀롱 뽀로로 시즌 2,19,에피소드 19,,,7,,
578349,뽀롱뽀롱 뽀로로 시즌 2,22,에피소드 22,,,7,,
578350,뽀롱뽀롱 뽀로로 시즌 2,27,에피소드 27,,,7,,
578351,뽀롱뽀롱 뽀로로 시즌 2,43,에피소드 43,,,7,,
578352,뽀롱뽀롱 뽀로로 시즌 2,28,에피소드 28,,,7,,
578353,뽀롱뽀롱 뽀로로 시즌 2,25,에피소드 25,,,7,,
578354,뽀롱뽀롱 뽀로로 시즌 2,39,에피소드 39,,,7,,
578355,뽀롱뽀롱 뽀로로 시즌 2,34,에피소드 34,,,7,,
578356,뽀롱뽀롱 뽀로로 시즌 2,31,에피소드 31,,,7,,
578357,뽀롱뽀롱 뽀로로 시즌 2,33,에피소드 33,,,7,,
578358,뽀롱뽀롱 뽀로로 시즌 2,29,에피소드 29,,,7,,
578359,뽀롱뽀롱 뽀로로 시즌 2,41,에피소드 41,,,7,,
578360,뽀롱뽀롱 뽀로로 시즌 2,30,에피소드 30,,,7,,
578361,뽀롱뽀롱 뽀로로 시즌 2,32,에피소드 32,,,7,,
578362,뽀롱뽀롱 뽀로로 시즌 2,35,에피소드 35,,,7,,
578363,뽀롱뽀롱 뽀로로 시즌 2,42,에피소드 42,,,7,,
578364,뽀롱뽀롱 뽀로로 시즌 2,46,에피소드 46,,,7,,
578365,뽀롱뽀롱 뽀로로 시즌 2,38,에피소드 38,,,7,,
578366,뽀롱뽀롱 뽀로로 시즌 2,45,에피소드 45,,,7,,
578367,뽀롱뽀롱 뽀로로 시즌 2,44,에피소드 44,,,7,,
578368,뽀롱뽀롱 뽀로로 시즌 2,47,에피소드 47,,,7,,
578369,뽀롱뽀롱 뽀로로 시즌 2,40,에피소드 40,,,7,,
578370,뽀롱뽀롱 뽀로로 시즌 2,49,에피소드 49,,,7,,
578371,뽀롱뽀롱 뽀로로 시즌 2,48,에피소드 48,,,7,,
578372,뽀롱뽀롱 뽀로로 시즌 2,51,에피소드 51,,2006-02-27,7,,
578373,뽀롱뽀롱 뽀로로 시즌 2,50,에피소드 50,,2006-02-21,7,,
578374,뽀롱뽀롱 뽀로로 시즌 2,52,에피소드 52,,2006-02-28,7,,
578375,뽀롱뽀롱 뽀로로 시즌 3,1,에피소드 1,,2009-05-04,7,,
578376,뽀롱뽀롱 뽀로로 시즌 3,2,에피소드 2,,,7,,
578377,뽀롱뽀롱 뽀로로 시즌 3,3,에피소드 3,,,7,,
578378,뽀롱뽀롱 뽀로로 시즌 3,4,에피소드 4,,,7,,
578379,뽀롱뽀롱 뽀로로 시즌 3,5,에피소드 5,,,7,,
578380,뽀롱뽀롱 뽀로로 시즌 3,6,에피소드 6,,,7,,
578381,뽀롱뽀롱 뽀로로 시즌 3,7,에피소드 7,,,7,,
578382,뽀롱뽀롱 뽀로로 시즌 3,8,에피소드 8,,,7,,
578383,뽀롱뽀롱 뽀로로 시즌 3,9,에피소드 9,,,7,,
578384,뽀롱뽀롱 뽀로로 시즌 3,10,에피소드 10,,,7,,
578385,뽀롱뽀롱 뽀로로 시즌 3,11,에피소드 11,,,7,,
578386,뽀롱뽀롱 뽀로로 시즌 3,12,에피소드 12,,,7,,
578387,뽀롱뽀롱 뽀로로 시즌 3,13,에피소드 13,,,7,,
578388,뽀롱뽀롱 뽀로로 시즌 3,14,에피소드 14,,,7,,
578389,뽀롱뽀롱 뽀로로 시즌 3,15,에피소드 15,,,7,,
578390,뽀롱뽀롱 뽀로로 시즌 3,16,에피소드 16,,,7,,
578391,뽀롱뽀롱 뽀로로 시즌 3,17,에피소드 17,,,7,,
578392,뽀롱뽀롱 뽀로로 시즌 3,18,에피소드 18,,,7,,
578393,뽀롱뽀롱 뽀로로 시즌 3,19,에피소드 19,,,7,,
578394,뽀롱뽀롱 뽀로로 시즌 3,20,에피소드 20,,,7,,
578395,뽀롱뽀롱 뽀로로 시즌 3,21,에피소드 21,,,7,,
578396,뽀롱뽀롱 뽀로로 시즌 3,22,에피소드 22,,,7,,
578397,뽀롱뽀롱 뽀로로 시즌 3,23,에피소드 23,,,7,,
578398,뽀롱뽀롱 뽀로로 시즌 3,24,에피소드 24,,,7,,
578399,뽀롱뽀롱 뽀로로 시즌 3,25,에피소드 25,,,7,,
578400,뽀롱뽀롱 뽀로로 시즌 3,26,에피소드 26,,,7,,
578401,뽀롱뽀롱 뽀로로 시즌 3,28,에피소드 28,,,7,,
578402,뽀롱뽀롱 뽀로로 시즌 3,29,에피소드 29,,,7,,
578403,뽀롱뽀롱 뽀로로 시즌 3,30,에피소드 30,,,7,,
578404,뽀롱뽀롱 뽀로로 시즌 3,31,에피소드 31,,,7,,
578405,뽀롱뽀롱 뽀로로 시즌 3,32,에피소드 32,,,7,,
578406,뽀롱뽀롱 뽀로로 시즌 3,33,에피소드 33,,,7,,
578407,뽀롱뽀롱 뽀로로 시즌 3,34,에피소드 34,,,7,,
578408,뽀롱뽀롱 뽀로로 시즌 3,35,에피소드 35,,,7,,
578409,뽀롱뽀롱 뽀로로 시즌 3,36,에피소드 36,,,7,,
578410,뽀롱뽀롱 뽀로로 시즌 3,37,에피소드 37,,,7,,
578411,뽀롱뽀롱 뽀로로 시즌 3,38,에피소드 38,,,7,,
578412,뽀롱뽀롱 뽀로로 시즌 3,39,에피소드 39,,,7,,
578413,뽀롱뽀롱 뽀로로 시즌 3,40,에피소드 40,,,7,,
578414,뽀롱뽀롱 뽀로로 시즌 3,41,에피소드 41,,,7,,
578415,뽀롱뽀롱 뽀로로 시즌 3,42,에피소드 42,,,7,,
578416,뽀롱뽀롱 뽀로로 시즌 3,44,에피소드 44,,,7,,
578417,뽀롱뽀롱 뽀로로 시즌 3,45,에피소드 45,,,7,,
578418,뽀롱뽀롱 뽀로로 시즌 3,46,에피소드 46,,,7,,
578419,뽀롱뽀롱 뽀로로 시즌 3,47,에피소드 47,,,7,,
578420,뽀롱뽀롱 뽀로로 시즌 3,48,에피소드 48,,,7,,
578421,뽀롱뽀롱 뽀로로 시즌 3,49,에피소드 49,,,7,,
578422,뽀롱뽀롱 뽀로로 시즌 3,50,에피소드 50,,,7,,
578423,뽀롱뽀롱 뽀로로 시즌 3,51,에피소드 51,,2009-10-26,7,,
578424,뽀롱뽀롱 뽀로로 시즌 3,27,에피소드 27,,,7,,
896397,꼬마버스 타요 시즌 2,4,"내가 도와줄게, 빅!","평소처럼 배달일을 하던 토니는 타요를 만나게 되고 차고지로 놀러 오라는 제안을 받는다. 그런데 빨리 놀고 싶은 마음에 서두르던 토니는 꼬마아이의 장난감을 잘못 배달 해 주고 만다. 꼬마의 아빠에게 그 사실을 들은 빅은 토니에게 배달이 잘못 됐다는 것을 알려 주고, 차고지로 놀러가던 토니를 대신해 장난감을 배달을 해 주기로 한다. 그런데 다시 배달 해 주고 돌아오던 길에 자신의 큰 몸집 때문에 좁은 길에 꼼짝 못하게 갇혀 버린 빅. 그 소식을 들은 토니 빅에게 달려가서 꼬마버스들과 함께 힘을 합쳐 빅을 구하게 된다. 서로에게 감사의 인사를 건넨 토니와 빅. 함께 노래 부르며 석양을 향해 달린다.",2011-12-08,10,,
896398,꼬마버스 타요 시즌 2,3,선생님이 된 가니!,"씨투를 대신해 유치원생들에게 버스가 하는 일을 소개 해 주는 일일교사를 나가게 된 가니. 중장비들과 경찰차 패트, 소방차 프랭크 등 멋진 자동차들도 일일교사사를 위해 교육장에 모인다. 가니는 멋지게 자신의 직업을 소개하는 중장비들과 패트, 프랭크와 앨리스의 모습에 기가 죽지만 하나의 격려를 받고 열심히 해 보겠다고 다짐한다. 하지만 다른 자동차들에 비해 평범한 직업소개가 이어지자 유치원생들의 야유를 받고, 실수 투성이로 시범을 마치는 가니. 잔뜩 기가 죽어 있는데 갑자기 하늘에서 비가 내리기 시작한다. 용기를 낸 가니는 유치원생들을 태우고 무사히 유치원으로 데려다주고, 유치원생들은 가니를 최고라고 치켜세운다.",2011-12-07,10,,
896399,꼬마버스 타요 시즌 2,2,명콤비 루키와 패트,"어느날 버스 정류장이 온통 낙서로 뒤덮이는 사건이 발생해, 루키와 패트가 수사에 나선다. 하지만 최신 컴퓨터를 이용하자는 루키와 직접 다니는 순찰을 고집하는 패트는 의견충돌을 보인다. 그러다 결국 낙서범을 놓치고 마는 루키와 패트. 계속해서 자신의 수사 방식을 고집하던 루키와 패트는 싸우게 되고 각자 따로 범인을 찾기로 한다. 그러던 중, 우연히 낙서범을 발견한 타요의 신고를 받은 루키. 홀로 낙서범을 쫓다 놓칠 뻔 하지만 패트의 도움을 받아 무사히 낙서범을 잡는데 성공한다.  무사히 사건을 해결한 패트와 루키는 다시 화해를 하게 되고 낙서범 앤디는 벽화를 그려 도시를 예쁘게 꾸미는 일을 하게 된다.",2011-12-01,10,,
896400,꼬마버스 타요 시즌 2,1,타요와 봉봉,"자동차 운반차 캐리는 실수로 자신이 태우고 가던 아기 승합차 봉봉을 떨어트리고 만다. 혼자 남은 봉봉은 우연히 타요를 만나고, 타요와 함께 교통규칙도 배우면서 즐거운 시간을 보낸다. 귀여운 봉봉이 마음에 들어 봉봉을 차고지로 초대하는 타요. 한편 뒤늦게 봉봉이 없어진걸 안 캐리는 봉봉을 찾으러 나선다. 하지만 봉봉을 찾지 못하고 기운 없이 달리는 캐리.  그 모습을 본 씨투는 캐리에게 차고지에서 충전할것을 권하고 캐리와 함께 차고지로 간다. 차고지로 간 캐리는 차고지에서 놀고 있던 봉봉과 감격적인 재회를 한다. 꼬마버스들과 헤어지기 싫어하는 봉봉을 잘 달랜 타요는 다음에 또 놀자는 약속과 함께 봉봉과 헤어진다.",2011-11-30,10,,
896401,꼬마버스 타요 시즌 2,8,누리의 최악의 하루!,"아침부터 안 좋은 일만 겪다 사고까지 당한 누리는 정비를 받다 꼬마버스들이 유람선을 타러간다는 소식을 듣는다. 유람선에 너무 타보고 싶은 누리지만 타요가 빅을 초대한 바람에 남는자리가 없다. 실망 하며 역시 자신은 운이 없다고 한탄하는 누리에게 하나는 행운의 목걸이를 선물 해 준다. 행운의 목걸이를 단 후부터 신기하게도 모든 일이 잘풀려 신이 난 누리. 하지만 그것도 잠시, 누리는 행운의 목걸이를 떨어트리게되고 그것을 쫓다 어두운 곳에 갇혀버리고 만다. 한편 빅과 함께 유람선에 탄 꼬마버스들은 빅의 컨테이너에서 들려오는 외침소리를 듣게 된다. 컨테이너 문을 열어보니 그 곳에 갇혀 있던 것은 다름 아닌 누리. 덕분에 누리는 유람선 관강을 할 수 있게 된다. 누리는 이 모든 것이 행운의 목걸이 덕이라고 생각하는데 하나는 행운의 목걸이는 그저 지어낸 이야기라고 고백한다. 이제 스스로 운이 좋은 차라고 믿게 된 누리. 꼬마버스들과 함께 유람선 관광을 즐긴다.",2011-12-22,10,,
896402,꼬마버스 타요 시즌 2,7,나나의 도시 구경,"우연히 시골에서 온 버스 나나를 곤경에서 구해준 타요. 타요가 능숙하게 도시를 구경시켜 주자, 나나는 타요가 버스들의 대장인줄 착각하게 된다. 기분 좋은 마음에 대장이라는 말을 부정하지 않고 나나와 헤어진 타요. 그런데 운행을 마친 타요가 차고지에 와보니 나나가 차고지에 와 있다.  타요는 자신이 잘난 척 한 것이 들킬까봐 나나를 데리고 밖으로 나왔는데, 나나는 타요가 한번도 가보지 못한 시티타워를 가보고 싶다고 한다. 가는 길을 모르지만 잘난 척이 들키기 싫어 무작정 시티타워를 향하던 타요는 길을 헤매게 되고, 급기와 나나와 엇갈려 헤어지고 만다. 루키와 패트의 도움을 받아 가까스러 다시 만난 타요와 나나. 타요는 나나에게 자신이 대장버스가 아니란 것을 고백하고, 미안해하는 타요에게 나나는 괜찮다고 말 해준다.",2011-12-21,10,,
896403,꼬마버스 타요 시즌 2,6,놀이터가 생겼어요!,"운행을 하던 중, 곤란을 겪고 있는 청소차 러비를 구해준 타요와 로기. 둘은 우연히 낡은 주차장을 발견하게 되고 그 곳에서 신나게 놀다 차고지에 늦게 들어간다. 낡은 주차장에서 노느라 엄청 더러워지고 만 타요와 로기. 하나와 씨투는 다시는 지저분한 주차장에서 놀지 말라고 엄하게 일러준다. 우연히 그 소식을 들은 러비는 이제 주차장에서 놀지 못하는 타요와 로기를 안타깝게 생각하고, 꼬마버스들이 다시 주차장에서 놀 수 있게 밤새 주차장을 청소한다. 다음날 타요와 로기는 깨끗하게 치워진 주차장을 발견하고 하나도 꼬마버스들에게 주차장에서 노는 것을 허락 해 준다. 꼬마버스들은 러비에게 감사해 하고, 함께 주차장 놀이터로 놀러 간다.",2011-12-15,10,,
896404,꼬마버스 타요 시즌 2,5,나랑 같이 가자,"예전 택시들 모임의 노래자랑에서 망신을 당한 기억이 있는 누리. 이번에는 노래를 잘 부르는 타요를 초대하려고 하는데 노래를 못 부르는 로기가 자신도 가고 싶다고 끼어든다. 일단 얼버무리 듯 로기를 따돌리고 타요와 함께 노래연습을 시작한 누리. 하지만 자존심이 상한 로기가 둘의 연습을 방해하자 로기에게 화를 내 버린다. 충격을 받은 로기는 며칠 동안 차고지에 늦게 돌아오고 걱정이 된 타요는 로기를 찾아 나선다. 타요는 매일 같이 연습을 해서 노래를 잘 부르게 된 로기를 발견하게 되고 일부러 아픈 척을 해서 누리가 로기와 함께 모임에 가도록 유도한다. 누리도 좋아진 로기의 노래소리를 마음에 들어하고, 로기와 누리는 함께 모임에 나가기로 한다.",2011-12-14,10,,
896405,꼬마버스 타요 시즌 2,10,명탐정 로기,"느날 실수로 세차장을 고장 내 버린 라니는 혼날까 두려워 그 사실을 숨기게 된다. 세차장을 고장낸 범인을 찾겠다고 나선 로기는 탐정 흉내를 내며 꼬마버스들에게 이것 저것 묻기 시작하는데 라니는 로기의 물음에 제대로 대답을 못한다. 하지만 타요의 도움으로 가까스러 자리를 피한 라니. 타요는 라니에게 조심스레 혹시 진짜 범인이냐며 묻는데, 라니는 오히려 자신을 감싸준 타요에게 화를 낸다. 한편 로기는 라니를 감싸주던 타요를 범인으로 의심하며 엉뚱한 조사를 계속한다. 그날 밤, 타요는 고장난 세차장에서 라니가 범인이라는 결정적 단서를 찾게 된다. 라니가 곤란해 질까봐 걱정된 타요는 단서를 숨겨주려다 라니와 마주치게 된다. 그리고 그 현장에 나타난 로기와 차고지 식구들. 타요는 자신이 범인이라며 라니를 감싼다. 그 모습에 크게 반성한 라니는 울면서 자신이 범인이란 것을 고백하고 진심어린 사과를 한다.",2011-12-29,10,,
896406,꼬마버스 타요 시즌 2,9,보물은 내 거야!,"어느날 창고에서 보물지도를 발견한 타요. 보물이 탐난 꼬마버스들은 서로 보물에 관심 없는 척 하면서 각자 몰래 보물을 찾으러 나선다. 서로를 따돌리며 보물을 찾아 봤지만 결국 찾지 못한 꼬마버스들. 서로를 속인 것을 알고 티격태격 싸우게 된다.  그러다 씨투의 조언으로 보물은 다른 곳에 있다는 것을 안 꼬마버스들. 다 같이 빠른 속도로 보물이 묻힌 곳으로 달려 간다. 드디어 보물을 발견하고 상자를 열려던 찰나, 과속한 꼬마버스들을 쫓아온 루키가 나타난다. 꼬마버스들의 말을 듣고 보물상자를 열어보는 루키. 그 안에는 루키가 어린 시절 경찰을 꿈꾸며 묻어 놓은 경찰배지가 들어 있다. 꼬마버스들은 진짜 보물이 아니라 실망을 하지만, 어린 시절의 순수했던 꿈이 담긴 배지야말로 자신에게 가장 큰 보물이라는 루키의 말을 듣고 서로 싸운 것을 반성하게 된다.",2011-12-28,10,,
896407,꼬마버스 타요 시즌 2,13,씨투의 비밀,"항상 꼬마버스들을 도와주지만 가끔은 엄하기도 한 씨투. 꼬마버스들은 빈틈 없어 보이는 씨투가 조금 어렵게 느껴지면서 자신들과는 다른 존재처럼 생각된다. 그러던 어느 날. 씨투의 선임버스 였던 할아버지 버스 부바가 차고지에 나타난다. 부바에게 쩔쩔매는 씨투를 보며 의아해 하는 꼬마버스들. 부바는 꼬마버스들에게 장난꾸러기에다 실수투성이였던 씨투의 어린 시절에 대해 이야기 해 준다. 그리고 씨투가 어렸을적부터 우스운 분장을 하고 어린이들과 놀아주는 봉사활동을 해왔다는 사실도 이야기 해주는 부바. 부바의 이야기를 들은 꼬마버스들은 씨투도 역시 자신들과 다르지 않은 어린 시절을 겪었고, 누구보다 따뜻한 마음씨를 가졌음을 안다. 덕분에 예전보다 씨투가 편해진 꼬마버스들. 꼬마버스들은 즐거운 마음으로 씨투와 함께 봉사활동을 하러 차고지를 나선다.",2012-01-11,10,,
896408,꼬마버스 타요 시즌 2,12,놀이터 반장을 뽑아요!,"주차장 놀이터에서 안전사고가 끊이지 않자, 하나는 놀이터의 질서를 지켜줄 놀이터 반장을 뽑기로 한다. 각자 반장 자리에 욕심이 생겨, 반장후보로 나선 라니, 토니, 스피드. 그리고 얼떨결에 후보가 된 러비까지 네 캐릭터가 반장후보로 나서게 된다. 다음날, 반장후보들의 선거유세가 시작된다. 많은 준비를 한 라니, 스피드, 토니는 화려한 선거 연설을 펼치지만 청소 일을 하느라 준비를 못한 러비는 초라한 선거 연설을 하고 만다. 연설이 끝나고 친구들이 떠나가자, 지저분해진 놀이터를 묵묵히 청소하는 러비. 드디어 개표가 시작되자, 예상대로 토니와 라니가 앞서 나간다. 하지만 개표가 끝나갈 무렵, 러비의 표가 많아지기 시작하더니, 결국 한 표 차이로 러비가 반장으로 당선된다. 예상외의 결과에 당황하는 후보들. 하지만 곧, 러비의 성실한 태도와 놀이터를 아끼는 마음이 친구들의 마음을 움직였다는 것을 알고, 가장 중요한 것은 놀이터를 아끼는 마음이란 것을 깨닫는다.",2012-01-05,10,,
896409,꼬마버스 타요 시즌 2,11,로기의 특별한 손님,"어느 날, 꼬마버스들에게 자신이 모은 잡동사니들을 자랑하는 로기. 하지만 꼬마버스들은 잡동사니들이 지저분하다며 로기에게 화를 낸다. 다음 날 운행을 나온 로기는 우연히 자신처럼 잡동사니를 모우기 좋아하는 캠핑카 윈디를 만난다. 온 세상을 자유롭게 여행 다닌다는 윈디에게 동경과 친근함을 느낀 로기. 로기는 윈디를 차고지로 초대한다. 한편, 로기에게 화를 낸 것이 후회스러운 꼬마버스들은 로기에게 사과를 하기로 마음먹는다. 하지만 로기는 윈디와 어울리느라 정신이 없다, 결국 밤이 되도록 사과를 못한 타요는 잠들기 전에 로기에게 찾아가는데, 우연히 윈디가 로기에게 함께 여행을 가자고 권하는 장면을 목격한다. 다음날, 텅 빈 로기의 차고를 발견한 꼬마버스들은 로기가 정말 윈디와 함께 떠난 줄 알고 온 도시를 찾아다닌다. 하지만 걱정과는 달리 태연히 차고지로 돌아오는 로기. 안도한 꼬마버스들은 로기에게 진심으로 사과를 하고, 서로의 소중함을 깨닫는다.",2012-01-04,10,,
896410,꼬마버스 타요 시즌 1,1,새내기 버스의 하루,시내버스 자격 시험을 보기 위해 시험장을 찾은 타요는 처음엔 긴장했지만 꼬마택시 누리의 격려에 힘입어 멋지게 시험을 통과한다.  이층버스 씨투의 안내를 받아 차고지로 향하던 타요는 스피드의 꼬임에 넘어가 강변도로에서 위험한 질주를 벌인다. 결국 충돌사고를 내고 견인차에  실려가는 스피드. 타요는 경찰차 패트와 루키에게 주의를 받고 다시 차고지로 향한다. 차고지에 도착한 타요는 로기와 라니를 비롯한 여러 버스 친구들의 환영을 받으며 차고지에서의 첫날밤을 보낸다.,2010-08-23,10,,
896411,꼬마버스 타요 시즌 1,3,타요의 첫 운행,"열심히 운행연습을 해보지만 잘 되지 않는 타요. 그때 운행을 나가야 하는 버스가 고장이 나고, 아직 미숙한 타요가 대신 운행을 나가게 된다. 걱정했던대로 첫 운행이 쉽지 않은 타요는 실수를 연발한다. 자신감을 잃고 기운이 빠진 타요. 이때 나타난 라니의 격려를 받은 타요는 다시 힘을 내서 운행을 시작하지만 버스를 무서워하는 꼬마손님을 만나 난처한 지경에 이르게 된다. 이때 타요가 재치를 발휘에 자신의 특기인 재밌는 방귀연주로 꼬마손님를 달래는데 성공하고 훌륭히 운행을 마친다.",2010-08-24,10,,
896412,꼬마버스 타요 시즌 1,2,길 잃은 타요,"씨투를 따라 차고지 곳곳을 소개받는 타요. 정비소, 세차장, 충전소, 교육장 모두가 타요에게는 신기하고 재밌기만 하다. 마침 운행시간이 되어 씨투와 로기는 운행을 나가게 되고, 혼자 남겨진 타요는 호기심에 허락 없이 차고지를 벗어난다. 도시를 혼자 돌아다니던 타요는  그만 길을 잃게 되고, 타요가 없어진 걸 알게된 버스들은 타요를 찾으러 나서지만 계속 엇갈리고 만다. 결국, 루키와 패트의 도움덕에 타요는 다른 버스친구들을 만나게 되고 무사히 차고지로 돌아오게 된다.",2010-08-23,10,,
